"id","title","genres","director","rating","imdb_rating","avg_rating","total_reviews","total_spoilers"
"tt0118583","Alien: Resurrection ","Action|Horror|Sci-Fi","Jean-Pierre Jeunet","R",6,6,467,117
"tt0822854","Shooter ","Action|Crime|Drama|Mystery|Thriller","Antoine Fuqua","R",7,6,323,104
"tt0120791","Practical Magic ","Comedy|Drama|Fantasy|Romance","Griffin Dunne","PG-13",6,6,177,29
"tt1490017","The Lego Movie ","Action|Adventure|Animation|Comedy|Family|Fantasy","Phil Lord","PG",8,8,420,124
"tt0253754","Star Trek: Nemesis ","Action|Adventure|Sci-Fi|Thriller","Stuart Baird","PG-13",6,6,531,176
"tt0181875","Almost Famous ","Adventure|Comedy|Drama|Music","Cameron Crowe","R",8,8,573,61
"tt0119081","Event Horizon ","Horror|Sci-Fi|Thriller","Paul W.S. Anderson","R",7,6,525,132
"tt1538403","The Mortal Instruments: City of Bones ","Fantasy|Horror|Mystery|Romance","Harald Zwart","PG-13",6,6,440,159
"tt1431045","Deadpool ","Action|Adventure|Comedy|Romance|Sci-Fi","Tim Miller","R",8,7,733,170
"tt2179136","American Sniper ","Action|Biography|Drama|History|Thriller|War","Clint Eastwood","R",7,6,730,241
"tt2234155","The Internship ","Comedy","Shawn Levy","PG-13",6,6,261,81
"tt0118971","The Devil's Advocate ","Drama|Mystery|Thriller","Taylor Hackford","R",8,7,305,66
"tt0395699","The Pacifier ","Action|Comedy|Drama|Family|Thriller","Adam Shankman","PG",6,6,183,41
"tt0351977","Walking Tall ","Action|Crime","Kevin Bray","PG-13",6,6,159,34
"tt0109830","Forrest Gump ","Comedy|Drama","Robert Zemeckis","PG-13",9,8,696,198
"tt0114148","Pocahontas ","Adventure|Animation|Drama|Family|History|Musical|Romance","Mike Gabriel","G",7,7,167,49
"tt0117218","The Nutty Professor ","Comedy|Romance|Sci-Fi","Tom Shadyac","PG-13",6,7,72,16
"tt0386588","Hitch ","Comedy|Romance","Andy Tennant","PG-13",7,7,308,67
"tt0119190","George of the Jungle ","Action|Adventure|Comedy|Family|Romance","Sam Weisman","PG",5,7,80,11
"tt0112642","Casper ","Comedy|Family|Fantasy","Brad Silberling","PG",6,7,72,20
"tt0455944","The Equalizer ","Action|Crime|Thriller","Antoine Fuqua","R",7,7,429,136
"tt0454921","The Pursuit of Happyness ","Biography|Drama","Gabriele Muccino","PG-13",8,8,586,157
"tt0109635","Disclosure ","Drama|Thriller","Barry Levinson","R",6,7,79,18
"tt0266697","Kill Bill: Vol. 1 ","Action","Quentin Tarantino","R",8,4,497,91
"tt0378194","Kill Bill: Vol. 2 ","Action|Crime|Drama|Thriller","Quentin Tarantino","R",8,7,590,163
"tt0104070","Death Becomes Her ","Comedy|Fantasy|Horror","Robert Zemeckis","PG-13",6,8,139,35
"tt0103644","Alien 3 ","Action|Horror|Sci-Fi","David Fincher","R",6,6,575,224
"tt0116250","Evita ","Biography|Drama|History|Musical","Alan Parker","PG",6,8,150,25
"tt0122690","Ronin ","Action|Adventure|Crime|Thriller","John Frankenheimer","R",7,7,408,53
"tt1109624","Paddington ","Animation|Comedy|Family|Fantasy","Paul King","PG",7,8,177,45
"tt0338466","Stuck on You ","Comedy","Bobby Farrelly","PG-13",6,6,108,14
"tt0293508","The Phantom of the Opera ","Drama|Musical|Romance|Thriller","Joel Schumacher","PG-13",7,8,712,104
"tt0814314","Seven Pounds ","Drama|Romance","Gabriele Muccino","PG-13",8,7,579,182
"tt0099674","The Godfather: Part III ","Crime|Drama","Francis Ford Coppola","R",8,7,420,121
"tt0118617","Anastasia ","Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance","Don Bluth","G",7,8,133,38
"tt0203009","Moulin Rouge! ","Drama|Musical|Romance","Baz Luhrmann","PG-13",8,6,524,56
"tt1355683","Black Mass ","Biography|Crime|Drama","Scott Cooper","R",7,7,300,75
"tt1197624","Law Abiding Citizen ","Crime|Drama|Thriller","F. Gary Gray","R",7,6,415,211
"tt0462322","Grindhouse ","Action|Horror|Thriller","Robert Rodriguez","R",8,7,497,132
"tt0264464","Catch Me If You Can ","Biography|Crime|Drama","Steven Spielberg","PG-13",8,8,508,88
"tt1790885","Zero Dark Thirty ","Drama|History|Thriller","Kathryn Bigelow","R",7,6,626,223
"tt0452594","The Break-Up ","Comedy|Drama|Romance","Peyton Reed","PG-13",6,5,465,163
"tt0795421","Mamma Mia! ","Comedy|Family|Musical|Romance","Phyllida Lloyd","PG-13",6,6,582,134
"tt0377818","The Dukes of Hazzard ","Action|Adventure|Comedy","Jay Chandrasekhar","PG-13",5,5,590,92
"tt0120863","The Thin Red Line ","Drama|War","Terrence Malick","R",8,7,545,48
"tt0125664","Man on the Moon ","Biography|Comedy|Drama","Milos Forman","R",7,8,387,36
"tt0112641","Casino ","Biography|Crime|Drama","Martin Scorsese","R",8,8,423,99
"tt0183505","Me, Myself & Irene ","Comedy","Bobby Farrelly","R",7,6,321,21
"tt0790604","Deck the Halls ","Comedy|Family","John Whitesell","PG",5,4,107,27
"tt1259571","The Twilight Saga: New Moon ","Adventure|Drama|Fantasy|Romance","Chris Weitz","PG-13",5,5,729,257
"tt0126029","Shrek ","Adventure|Animation|Comedy|Family|Fantasy","Andrew Adamson","PG",8,8,568,58
"tt1385826","The Adjustment Bureau ","Romance|Sci-Fi|Thriller","George Nolfi","PG-13",7,6,363,114
"tt0102798","Robin Hood: Prince of Thieves ","Action|Adventure|Drama|Romance","Kevin Reynolds","PG-13",7,7,236,45
"tt0116695","Jerry Maguire ","Comedy|Drama|Romance|Sport","Cameron Crowe","R",7,7,243,39
"tt1637725","Ted ","Comedy|Fantasy","Seth MacFarlane","R",7,6,590,177
"tt0119822","As Good as It Gets ","Comedy|Drama|Romance","James L. Brooks","PG-13",8,8,374,60
"tt0129290","Patch Adams ","Biography|Comedy|Drama|Romance","Tom Shadyac","PG-13",7,7,271,36
"tt1650062","Super 8 ","Mystery|Sci-Fi|Thriller","J.J. Abrams","PG-13",7,6,662,252
"tt0195685","Erin Brockovich ","Biography|Drama","Steven Soderbergh","R",7,8,344,40
"tt0251127","How to Lose a Guy in 10 Days ","Comedy|Romance","Donald Petrie","PG-13",6,7,257,32
"tt2294449","22 Jump Street ","Action|Comedy|Crime","Phil Lord","R",7,7,311,72
"tt0110148","Interview with the Vampire: The Vampire Chronicles ","Drama|Fantasy|Horror","Neil Jordan","R",8,8,299,61
"tt1528854","Daddy's Home ","Comedy|Family","Sean Anders","PG-13",6,6,146,44
"tt2180411","Into the Woods ","Adventure|Comedy|Drama|Fantasy|Musical","Rob Marshall","PG",6,5,730,260
"tt0454848","Inside Man ","Crime|Drama|Mystery|Thriller","Spike Lee","R",8,7,615,164
"tt1570728","Crazy, Stupid, Love. ","Comedy|Drama|Romance","Glenn Ficarra","PG-13",7,7,225,65
"tt0388419","Christmas with the Kranks ","Comedy|Family","Joe Roth","PG",5,4,191,48
"tt1210166","Moneyball ","Biography|Drama|Sport","Bennett Miller","PG-13",8,8,252,65
"tt0434409","V for Vendetta ","Action|Drama|Thriller","James McTeigue","R",8,7,728,197
"tt0250797","Unfaithful ","Drama|Thriller","Adrian Lyne","R",7,7,371,73
"tt1464540","I Am Number Four ","Action|Adventure|Sci-Fi|Thriller","D.J. Caruso","PG-13",6,6,302,118
"tt2262227","The Book of Life ","Adventure|Animation|Comedy|Family|Fantasy|Romance","Jorge R. Gutiérrez","PG",7,7,102,30
"tt0119174","The Game ","Drama|Mystery|Thriller","David Fincher","R",8,7,408,108
"tt0384537","Silent Hill ","Adventure|Horror|Mystery","Christophe Gans","R",7,6,738,232
"tt1605630","American Reunion ","Comedy","Jon Hurwitz","R",7,7,169,49
"tt0109254","Beverly Hills Cop III ","Action|Comedy|Crime|Thriller","John Landis","R",6,5,93,19
"tt0099700","Gremlins 2: The New Batch ","Comedy|Fantasy|Horror","Joe Dante","PG-13",6,7,120,32
"tt0163978","The Beach ","Adventure|Drama|Thriller","Danny Boyle","R",7,6,400,57
"tt0117765","Striptease ","Comedy|Crime|Drama|Thriller","Andrew Bergman","R",4,5,95,15
"tt0116225","Escape from L.A. ","Action|Adventure|Sci-Fi|Thriller","John Carpenter","R",6,6,167,38
"tt0129167","The Iron Giant ","Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi","Brad Bird","PG",8,9,399,57
"tt0109190","Baby's Day Out ","Adventure|Comedy|Crime|Drama|Family","Patrick Read Johnson","PG",6,7,64,15
"tt1559547","Beautiful Creatures ","Drama|Fantasy|Romance","Richard LaGravenese","PG-13",6,5,255,96
"tt0181865","Traffic ","Crime|Drama|Thriller","Steven Soderbergh","R",8,7,536,49
"tt0097576","Indiana Jones and the Last Crusade ","Action|Adventure|Fantasy","Steven Spielberg","PG-13",8,9,407,101
"tt1781769","Anna Karenina ","Drama|Romance","Joe Wright","R",7,5,217,54
"tt1823672","Chappie ","Action|Crime|Drama|Sci-Fi|Thriller","Neill Blomkamp","R",7,6,649,196
"tt0145681","The Bone Collector ","Crime|Drama|Mystery|Thriller","Phillip Noyce","R",7,6,269,45
"tt0258000","Panic Room ","Crime|Drama|Thriller","David Fincher","R",7,6,558,103
"tt0230030","Bedazzled ","Comedy|Fantasy|Romance","Harold Ramis","PG-13",6,7,176,21
"tt0381849","3:10 to Yuma ","Adventure|Crime|Drama|Western","James Mangold","R",8,7,540,184
"tt0120780","Out of Sight ","Crime|Drama|Romance|Thriller","Steven Soderbergh","R",7,8,210,23
"tt0115798","The Cable Guy ","Comedy|Drama|Thriller","Ben Stiller","PG-13",6,7,246,40
"tt0099422","Dick Tracy ","Action|Comedy|Crime|Music|Romance|Thriller","Warren Beatty","PG",6,8,128,19
"tt0155267","The Thomas Crown Affair ","Crime|Romance|Thriller","John McTiernan","R",7,7,304,33
"tt0119738","My Best Friend's Wedding ","Comedy|Romance","P.J. Hogan","PG-13",6,7,120,29
"tt0278504","Insomnia ","Drama|Mystery|Thriller","Christopher Nolan","R",7,7,479,97
"tt0117731","Star Trek: First Contact ","Action|Adventure|Drama|Sci-Fi|Thriller","Jonathan Frakes","PG-13",8,8,235,58
"tt0119528","Liar Liar ","Comedy|Fantasy|Romance","Tom Shadyac","PG-13",7,8,175,34
"tt0109813","The Flintstones ","Comedy|Family|Fantasy","Brian Levant","PG",5,5,67,12
"tt0212346","Miss Congeniality ","Action|Comedy|Crime|Romance","Donald Petrie","PG-13",6,8,264,31
"tt0373051","Journey to the Center of the Earth ","Action|Adventure|Family|Fantasy|Sci-Fi","Eric Brevig","PG",6,6,192,47
"tt0105112","Patriot Games ","Action|Thriller","Phillip Noyce","R",7,7,100,17
"tt1392214","Prisoners ","Crime|Drama|Mystery|Thriller","Denis Villeneuve","R",8,7,637,214
"tt0139654","Training Day ","Crime|Drama|Thriller","Antoine Fuqua","R",8,7,465,86
"tt0177789","Galaxy Quest ","Adventure|Comedy|Sci-Fi","Dean Parisot","PG",7,8,471,55
"tt0257106","Scary Movie 2 ","Comedy","Keenen Ivory Wayans","R",5,5,364,38
